Home,Away,Outcome,Odd_1,Odd_X,Odd_2,anno
Lazio,Fiorentina,2,1.89,3.84,3.69,2015
Palermo,Verona,1,1.26,6.13,10.5,2015
Udinese,Carpi,2,2.13,3.55,3.28,2015
Chievo,Bologna,X,2.31,3.34,3.11,2015
Empoli,Torino,1,2.54,3.56,2.6,2015
Genoa,Atalanta,2,1.57,4.3,5.35,2015
Milan,Roma,2,2.86,3.73,2.3,2015
Napoli,Frosinone,1,1.06,12.5,26.75,2015
Sassuolo,Inter,1,1.65,4.05,4.89,2015
Juventus,Sampdoria,1,1.21,6.69,13.0,2015
Torino,Napoli,2,7.0,4.75,1.43,2015
Verona,Juventus,1,5.48,4.1,1.6,2015
Atalanta,Udinese,X,3.33,3.3,2.22,2015
Carpi,Lazio,2,2.83,3.26,2.53,2015
Fiorentina,Palermo,X,1.67,3.94,5.07,2015
Frosinone,Sassuolo,2,5.0,4.09,1.64,2015
Roma,Chievo,1,1.2,6.51,14.25,2015
Bologna,Milan,2,3.75,3.41,2.03,2015
Inter,Empoli,1,1.36,5.0,8.75,2015
Napoli,Atalanta,1,1.16,7.81,16.13,2015
Genoa,Roma,2,5.38,3.93,1.63,2015
Lazio,Inter,1,2.24,3.45,3.2,2015
Milan,Frosinone,X,1.25,6.11,11.5,2015
Empoli,Bologna,X,2.38,3.21,3.1,2015
Palermo,Sampdoria,1,1.9,3.56,4.03,2015
Sassuolo,Verona,1,1.51,4.37,6.19,2015
Juventus,Carpi,1,1.29,5.31,11.25,2015
Chievo,Fiorentina,X,4.35,3.56,1.83,2015
Udinese,Torino,2,1.94,3.45,4.07,2015
Carpi,Empoli,1,1.83,3.48,4.43,2015
Roma,Napoli,1,2.66,3.34,2.66,2015
Atalanta,Chievo,1,2.01,3.3,3.9,2015
Bologna,Genoa,1,2.26,3.18,3.33,2015
Sampdoria,Lazio,1,3.0,3.3,2.38,2015
Torino,Sassuolo,2,2.36,3.26,3.05,2015
Frosinone,Palermo,2,2.68,3.33,2.61,2015
Inter,Udinese,1,1.47,4.22,7.5,2015
Milan,Carpi,X,1.4,4.44,8.81,2015
Roma,Torino,1,1.39,4.79,8.25,2015
Chievo,Frosinone,1,1.92,3.46,4.1,2015
Empoli,Verona,1,1.9,3.53,4.15,2015
Genoa,Inter,1,3.97,3.5,1.94,2015
Juventus,Lazio,1,1.52,3.99,6.94,2015
Palermo,Atalanta,X,2.33,3.29,3.13,2015
Sassuolo,Sampdoria,X,2.16,3.35,3.44,2015
Napoli,Bologna,1,1.27,5.63,11.63,2015
Sampdoria,Milan,2,3.26,3.36,2.23,2015
Lazio,Empoli,1,1.52,4.22,6.3,2015
Fiorentina,Sassuolo,1,1.8,3.61,4.61,2015
Juventus,Palermo,1,1.15,7.56,22.5,2015
Udinese,Chievo,X,1.95,3.43,4.08,2015
Verona,Frosinone,2,1.59,4.03,5.56,2015
Atalanta,Roma,X,4.8,3.61,1.76,2015
Inter,Napoli,1,3.13,3.25,2.35,2015
Carpi,Genoa,1,2.68,3.05,2.82,2015
