Home,Away,Outcome,Odd_1,Odd_X,Odd_2
Salernitana,Udinese,2,1.85,3.84,3.86
Venezia,Cagliari,X,5.31,4.00,1.61
Inter,Sampdoria,1,1.13,8.83,17.17
Sassuolo,Milan,2,6.57,4.83,1.44
Spezia,Napoli,2,4.48,4.08,1.69
Atalanta,Empoli,2,1.19,7.57,11.84
Fiorentina,Juventus,1,1.80,3.78,4.17
Lazio,Verona,X,1.89,3.65,3.85
Genoa,Bologna,2,1.84,3.83,3.90
Torino,Roma,2,3.55,3.58,2.02
Juventus,Lazio,X,2.08,3.51,3.44
Sampdoria,Fiorentina,1,5.80,4.28,1.54
Cagliari,Inter,2,7.35,5.46,1.35
Milan,Atalanta,1,1.86,3.68,4.04
Napoli,Genoa,1,1.67,4.35,4.37
Bologna,Sassuolo,2,2.35,3.77,2.71
Roma,Venezia,X,1.24,6.19,10.78
Udinese,Spezia,2,1.64,3.93,5.09
Verona,Torino,2,1.96,3.43,3.88
Empoli,Salernitana,X,2.92,3.59,2.27
Fiorentina,Roma,1,2.66,3.29,2.68
Verona,Milan,2,4.99,3.86,1.67
Salernitana,Cagliari,X,2.38,3.06,3.23
Venezia,Bologna,1,3.13,3.51,2.22
Spezia,Atalanta,2,6.46,4.77,1.44
Lazio,Sampdoria,1,1.44,4.63,6.98
Sassuolo,Udinese,X,2.42,3.64,2.73
Torino,Napoli,2,3.47,3.49,2.09
Genoa,Juventus,1,3.63,3.33,2.10
Inter,Empoli,1,1.13,8.98,17.19
Salernitana,Venezia,1,1.93,3.51,3.93
Atalanta,Salernitana,X,1.28,5.99,9.43
Roma,Bologna,X,1.49,4.38,6.43
Udinese,Inter,2,6.41,4.57,1.47
Milan,Fiorentina,1,1.56,4.14,5.79
Empoli,Torino,2,2.81,3.39,2.46
Juventus,Venezia,1,1.24,6.17,11.78
Spezia,Lazio,2,6.54,4.43,1.49
Sampdoria,Genoa,1,2.89,2.93,2.72
Cagliari,Verona,2,2.51,3.28,2.84
Napoli,Sassuolo,1,1.39,5.29,6.98
Atalanta,Torino,X,1.50,4.43,6.29
Bologna,Inter,1,8.41,5.48,1.33
Fiorentina,Udinese,2,1.62,4.02,5.29
Sassuolo,Juventus,2,4.18,3.90,1.79
Lazio,Milan,2,3.04,3.38,2.33
Genoa,Cagliari,1,2.05,3.24,3.87
Bologna,Udinese,X,3.19,3.31,2.29
Empoli,Napoli,1,4.84,4.17,1.64
Salernitana,Fiorentina,1,4.55,3.56,1.81
Verona,Sampdoria,X,1.66,3.86,5.18
Inter,Roma,1,1.64,3.96,5.23
Torino,Spezia,1,1.64,3.74,5.66
Venezia,Atalanta,2,6.86,4.74,1.44
Udinese,Salernitana,2,1.64,3.92,5.25
Atalanta,Verona,2,1.63,4.03,5.18
Napoli,Roma,X,2.02,3.47,3.69
Lazio,Torino,X,1.64,3.89,5.44
Juventus,Bologna,X,1.34,5.04,9.03
Fiorentina,Venezia,1,1.36,5.02,8.63
Sampdoria,Salernitana,2,1.76,3.59,4.78
Udinese,Empoli,1,1.60,4.09,5.54
Cagliari,Sassuolo,1,2.56,3.48,2.66
Milan,Genoa,1,1.36,4.91,8.91
Spezia,Inter,2,10.32,5.45,1.29
Bologna,Sampdoria,1,2.33,3.19,3.22
Torino,Milan,X,4.57,3.56,1.82
Roma,Salernitana,1,1.33,5.15,9.09
Napoli,Fiorentina,2,1.77,3.72,4.55
Sassuolo,Atalanta,1,2.99,3.76,2.21
Venezia,Udinese,2,3.76,3.39,2.02
Genoa,Lazio,2,3.70,3.31,2.08
Cagliari,Juventus,2,6.38,3.83,1.58
Inter,Verona,1,1.42,4.83,7.21
Empoli,Spezia,X,1.89,3.43,4.34
Milan,Bologna,X,1.32,5.16,9.67
Verona,Genoa,1,1.82,3.44,4.69
Juventus,Inter,2,2.94,3.19,2.51
Sampdoria,Roma,2,4.58,3.75,1.77
Atalanta,Napoli,2,2.23,3.29,3.33
Udinese,Cagliari,1,1.95,3.30,4.31
Fiorentina,Empoli,1,1.56,4.24,5.75
Salernitana,Torino,2,3.52,3.34,2.13
Lazio,Sassuolo,1,1.53,4.56,5.47
Spezia,Venezia,1,2.21,3.19,3.45
Bologna,Atalanta,2,4.16,3.47,1.89
Roma,Lazio,1,2.63,3.16,2.80
Empoli,Verona,X,2.66,3.39,2.62
Juventus,Salernitana,1,1.21,6.53,13.00
